signal_date,entry_date,exit_date,entry_price,exit_price,size,hold_days,pnl,pnl_comm,return_pct,signal_prob,signal_threshold,target_percent,event_title,event_source,event_type_raw,exit_reason
2024-08-09,2024-08-12,2024-08-16,1354.56,1351.35,69,4,-221.4900000000025,-408.1977900000025,-0.002369773210489042,0.8296242747330308,0.5,0.95,贵州茅台2024年半年度报告；贵州茅台2024年半年度报告摘要；贵州茅台关于2024－2026年度现金分红回报规划的公告,moutai_ir|moutai_ir_gsgg,1,hold_days
2024-08-19,2024-08-20,2024-08-26,1354.46,1341.56,70,4,-903.0000000000064,-1091.7214000000063,-0.009524090781566153,0.5825804255737379,0.5,0.95,贵州茅台第四届董事会2024年度第十次会议决议公告,moutai_ir_gsgg,17,hold_days
2024-09-03,2024-09-04,2024-09-10,1326.56,1294.58,70,4,-2238.6000000000013,-2422.0798000000013,-0.02410746592690871,0.6777870069966568,0.5,0.95,贵州茅台关于召开2024年半年度业绩说明会的公告,moutai_ir_gsgg,8,hold_days
2024-09-23,2024-09-24,2024-09-25,1209.65,1324.61,76,1,8736.959999999985,8544.356239999985,0.09503575414376042,0.9285009672057254,0.5,0.95,贵州茅台关于以集中竞价交易方式回购公司股份方案的公告；贵州茅台第四届董事会2024年度第十一次会议决议公告,moutai_ir|moutai_ir_gsgg,4,take_profit
2024-10-22,2024-10-23,2024-10-29,1468.67,1484.56,67,4,1064.6299999999915,866.7635899999915,0.010819312711500795,0.9760319304404812,0.5,0.95,贵州茅台关于职工董事选举结果的公告,moutai_ir_gsgg,6,hold_days
2024-11-11,2024-11-12,2024-11-18,1513.56,1486.56,65,4,-1755.0,-1950.0078,-0.01783873781019583,0.9180436253782002,0.5,0.95,贵州茅台2024年中期利润分配方案公告；贵州茅台关于召开2024年第一次临时股东大会的通知；贵州茅台第四届监事会2024年度第五次会议决议公告,moutai_ir_gsgg,3,hold_days
2024-11-22,2024-11-25,2024-11-29,1435.56,1441.56,68,4,408.0,212.35584,0.004179553623672992,0.538910887914822,0.5,0.95,贵州茅台2024年第一次临时股东大会会议资料,moutai_ir_gsgg,9,hold_days
2024-12-16,2024-12-17,2024-12-23,1450.55,1471.44,67,4,1399.6300000000067,1203.8566700000067,0.01440143393885085,0.6588928549002097,0.5,0.95,贵州茅台2024年中期权益分派实施公告,eastmoney_notice,3,hold_days
2025-11-06,2025-11-07,2025-11-13,1411.15,1438.16,70,4,1890.6999999999994,1691.2482999999993,0.01914041739007192,0.6876821860088718,0.5,0.95,贵州茅台关于以集中竞价交易方式回购公司股份方案的公告,eastmoney_notice,4,hold_days
2025-12-11,2025-12-12,2025-12-18,1394.04,1409.54,72,4,1116.0,914.1422399999999,0.011118762732776679,0.5131900804955917,0.5,0.95,贵州茅台2025年中期权益分派实施公告,eastmoney_notice,3,hold_days
